"{'AddressedSafetyMessage': {'DestinationID': 431022075, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>WARNING:SHALLOW WATER & MANY FIXED FISHING NETS SETTING AREA CLOSE TO YOU. CHECK YOUR COURSE.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:39:25.654520317 +0000 UTC'}"
Message,MessageType,MetaData
"{'AddressedSafetyMessage': {'DestinationID': 431022075, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>WARNING:SHALLOW WATER & MANY FIXED FISHING NETS SETTING AREA CLOSE TO YOU. CHECK YOUR COURSE.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:39:25.753662167 +0000 UTC'}"
Message,MessageType,MetaData
"{'AddressedSafetyMessage': {'DestinationID': 431015259, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>WARNING:SHALLOW WATER & MANY FIXED FISHING NETS SETTING AREA CLOSE TO YOU. CHECK YOUR COURSE.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:39:58.483698882 +0000 UTC'}"
Message,MessageType,MetaData
"{'AddressedSafetyMessage': {'DestinationID': 431015259, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>WARNING:SHALLOW WATER & MANY FIXED FISHING NETS SETTING AREA CLOSE TO YOU. CHECK YOUR COURSE.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:39:58.605061482 +0000 UTC'}"
Message,MessageType,MetaData
"{'AddressedSafetyMessage': {'DestinationID': 431023528, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>INFORMATION:THERE ARE SHALLOW WATER AND FISHING NET. NAVIGATE WITH CAUTION.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:40:59.161598374 +0000 UTC'}"
Message,MessageType,MetaData
"{'AddressedSafetyMessage': {'DestinationID': 431023528, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>INFORMATION:THERE ARE SHALLOW WATER AND FISHING NET. NAVIGATE WITH CAUTION.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:40:59.210815521 +0000 UTC'}"
Message,MessageType,MetaData
"{'AddressedSafetyMessage': {'DestinationID': 431023528, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>INFORMATION:THERE ARE SHALLOW WATER AND FISHING NET. NAVIGATE WITH CAUTION.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:41:03.888779977 +0000 UTC'}"
Message,MessageType,MetaData
"{'AddressedSafetyMessage': {'DestinationID': 431023528, 'MessageID': 12, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 0, 'Spare': False, 'Text': '<ISEWAN MARTIS>INFORMATION:THERE ARE SHALLOW WATER AND FISHING NET. NAVIGATE WITH CAUTION.', 'UserID': 4310403, 'Valid': True}}",AddressedSafetyMessage,"{'MMSI': 4310403, 'MMSI_String': 4310403, 'ShipName': '', 'latitude': 34.458333333333336, 'longitude': 136.80633333333333, 'time_utc': '2024-12-10 21:41:04.082482993 +0000 UTC'}"
Message,MessageType,MetaData
